[136/200] - ptime: 38.00, loss_D_A: 0.063, loss_D_B: 0.092, loss_G_A: 0.720, loss_G_B: 0.610, loss_A_cycle: 1.842, loss_B_cycle: 1.458
[137/200] - ptime: 35.73, loss_D_A: 0.066, loss_D_B: 0.070, loss_G_A: 0.694, loss_G_B: 0.682, loss_A_cycle: 1.706, loss_B_cycle: 1.482
[138/200] - ptime: 41.72, loss_D_A: 0.069, loss_D_B: 0.087, loss_G_A: 0.730, loss_G_B: 0.690, loss_A_cycle: 1.640, loss_B_cycle: 1.496
[139/200] - ptime: 36.43, loss_D_A: 0.064, loss_D_B: 0.081, loss_G_A: 0.742, loss_G_B: 0.662, loss_A_cycle: 1.634, loss_B_cycle: 1.436
[140/200] - ptime: 41.49, loss_D_A: 0.071, loss_D_B: 0.085, loss_G_A: 0.728, loss_G_B: 0.627, loss_A_cycle: 1.685, loss_B_cycle: 1.451
[141/200] - ptime: 37.79, loss_D_A: 0.083, loss_D_B: 0.091, loss_G_A: 0.710, loss_G_B: 0.674, loss_A_cycle: 1.830, loss_B_cycle: 1.676
[142/200] - ptime: 38.00, loss_D_A: 0.082, loss_D_B: 0.064, loss_G_A: 0.656, loss_G_B: 0.754, loss_A_cycle: 1.732, loss_B_cycle: 1.531
[143/200] - ptime: 37.43, loss_D_A: 0.081, loss_D_B: 0.069, loss_G_A: 0.695, loss_G_B: 0.763, loss_A_cycle: 1.632, loss_B_cycle: 1.483
[144/200] - ptime: 38.87, loss_D_A: 0.084, loss_D_B: 0.074, loss_G_A: 0.653, loss_G_B: 0.715, loss_A_cycle: 1.658, loss_B_cycle: 1.437
[145/200] - ptime: 41.49, loss_D_A: 0.073, loss_D_B: 0.073, loss_G_A: 0.706, loss_G_B: 0.710, loss_A_cycle: 1.702, loss_B_cycle: 1.426
[146/200] - ptime: 35.17, loss_D_A: 0.065, loss_D_B: 0.082, loss_G_A: 0.744, loss_G_B: 0.645, loss_A_cycle: 1.679, loss_B_cycle: 1.360
[147/200] - ptime: 41.52, loss_D_A: 0.089, loss_D_B: 0.085, loss_G_A: 0.621, loss_G_B: 0.589, loss_A_cycle: 1.665, loss_B_cycle: 1.387
[148/200] - ptime: 39.62, loss_D_A: 0.082, loss_D_B: 0.096, loss_G_A: 0.696, loss_G_B: 0.646, loss_A_cycle: 1.623, loss_B_cycle: 1.452
[149/200] - ptime: 37.81, loss_D_A: 0.083, loss_D_B: 0.078, loss_G_A: 0.681, loss_G_B: 0.705, loss_A_cycle: 1.813, loss_B_cycle: 1.862
[150/200] - ptime: 36.33, loss_D_A: 0.093, loss_D_B: 0.075, loss_G_A: 0.632, loss_G_B: 0.678, loss_A_cycle: 1.617, loss_B_cycle: 1.345
[151/200] - ptime: 36.97, loss_D_A: 0.094, loss_D_B: 0.090, loss_G_A: 0.592, loss_G_B: 0.632, loss_A_cycle: 1.550, loss_B_cycle: 1.237
[152/200] - ptime: 35.92, loss_D_A: 0.096, loss_D_B: 0.101, loss_G_A: 0.612, loss_G_B: 0.627, loss_A_cycle: 1.486, loss_B_cycle: 1.214
[153/200] - ptime: 30.08, loss_D_A: 0.099, loss_D_B: 0.105, loss_G_A: 0.640, loss_G_B: 0.653, loss_A_cycle: 1.461, loss_B_cycle: 1.201
